Tipo|DATA COM|Pagamento|Valor
Rendimento|31/10/2022|16/11/2022|0,85000000
Rendimento|30/09/2022|17/10/2022|0,85000000
Rendimento|31/08/2022|15/09/2022|0,85000000
Rendimento|29/07/2022|12/08/2022|0,85000000
Rendimento|30/06/2022|14/07/2022|1,05000000
Rendimento|31/05/2022|14/06/2022|0,85000000
Rendimento|29/04/2022|13/05/2022|0,80000000
Rendimento|31/03/2022|14/04/2022|0,80000000
Rendimento|25/02/2022|15/03/2022|0,80000000
Rendimento|31/01/2022|14/02/2022|0,80000000
Rendimento|30/12/2021|14/01/2022|0,90000000
Rendimento|30/11/2021|14/12/2021|0,80000000
